energy_MeV,U235_fission,U235_capture,U238_fission,U238_capture
7.36248e-06,4.65313,4.88869,1.31886e-06,7.00606
7.79248e-06,2.31157,3.10046,3.65516e-07,2.68133
8.24759e-06,10.9891,6.42137,2.46102e-07,1.37792
8.72928e-06,582.158,194.652,2.68856e-07,0.847666
9.2391e-06,107.069,42.8894,3.2489e-07,0.591148
9.7787e-06,27.9145,6.76276,3.87815e-07,0.456711
1.03498e-05,17.9623,4.23381,4.51914e-07,0.811499
1.09543e-05,12.2675,2.96398,5.17142e-07,0.324829
1.15941e-05,53.9138,252.864,5.86526e-07,0.29936
1.22712e-05,147.734,118.373,6.63707e-07,0.277289
1.29879e-05,18.084,8.78167,7.54771e-07,0.278671
1.37464e-05,64.1668,8.44703,8.68984e-07,0.294703
1.45493e-05,38.6738,54.7975,1.02193e-06,0.328592
1.5399e-05,74.3103,53.1948,1.24406e-06,0.389572
1.62983e-05,4.84132,11.1475,1.59701e-06,0.499388
1.72502e-05,6.78634,2.01237,2.23824e-06,0.716851
1.82577e-05,32.4411,8.17332,3.73999e-06,1.2608
1.9324e-05,668.359,405.037,9.17428e-06,3.37478
2.04526e-05,16.0018,9.69846,0.000114859,46.5786
2.16471e-05,3.49635,3.82453,2.71434e-05,12.4805
2.29114e-05,85.216,67.0519,3.46156e-06,1.82987
2.42495e-05,70.1097,56.4759,1.23577e-06,0.833424
2.56658e-05,77.0422,5.15621,7.02205e-07,0.453493
2.71647e-05,20.2063,8.3417,5.44077e-07,0.380605
2.87513e-05,9.03808,3.68431,5.33594e-07,0.375929
3.04305e-05,13.1641,5.79255,6.25534e-07,0.486066
3.22077e-05,94.221,71.9227,8.79646e-07,0.81708
3.40888e-05,22.3936,20.9104,1.78718e-06,2.23532
3.60797e-05,21.5027,2.92666,2.10499e-05,41.7887
3.81869e-05,25.8228,3.3965,1.5843e-06,6.17501
4.04171e-05,31.3853,6.68111,1.12945e-07,0.996053
4.27776e-05,12.3283,30.2608,5.96328e-08,0.388173
4.5276e-05,20.4917,2.48142,9.28418e-08,0.74542
4.79203e-05,68.5791,50.2443,1.4112e-07,0.137623
5.0719e-05,39.3731,9.85612,2.00139e-07,0.10718
5.36812e-05,17.6202,3.79082,2.81328e-07,0.100166
5.68164e-05,38.415,17.8803,4.20074e-07,0.118864
6.01346e-05,58.7389,7.99363,7.73315e-07,0.212608
6.36467e-05,28.1407,1.84958,3.15045e-06,2.38803
6.73639e-05,2.39151,1.43729,6.24386e-06,3.35596
7.12982e-05,13.0448,2.79691,3.03851e-07,0.234508
7.54623e-05,59.4532,10.8544,2.16803e-07,0.105697
7.98696e-05,15.3812,6.86256,1.99648e-06,0.555711
8.45343e-05,57.2398,11.3976,3.02964e-08,0.0931872
8.94714e-05,14.2475,4.12501,1.0642e-07,2.8789
9.46969e-05,16.6663,9.50626,2.38349e-07,0.205869
0.000100228,15.6012,9.78116,1.50507e-06,2.05409
0.000106081,27.8128,8.50604,3.39226e-07,0.899994
0.000112277,1.85545,1.12061,8.15723e-08,0.278971
0.000118834,38.2923,23.241,8.98213e-08,0.969662
0.000125774,70.359,36.8759,1.09154e-07,0.0737805
0.00013312,30.0326,8.77827,1.30232e-07,0.470034
0.000140895,5.34415,1.07421,1.53702e-07,0.0270165
0.000149124,57.4567,11.2152,1.82503e-07,0.0298638
0.000157833,3.84896,2.71534,2.23256e-07,0.0318405
0.000167051,9.0267,1.2012,2.95287e-07,0.139875
0.000176807,32.4757,4.00113,4.95512e-07,0.0963211
0.000187134,8.18585,0.784324,4.59847e-06,2.15311
0.000198063,32.7903,2.80393,4.35656e-07,0.229276
0.000209631,8.96859,93.2813,1.04884e-05,3.52684
0.000221874,41.5483,4.30642,4.0193e-08,0.044471
0.000234832,1.68377,1.16153,6.44052e-07,0.309631
0.000248547,22.3513,8.96451,4.69085e-08,0.0256249
0.000263063,4.09525,1.27707,8.22754e-08,0.070494
0.000278427,6.42058,3.04615,1.16235e-07,0.165077
0.000294688,1.58312,0.470893,1.5588e-07,1.35819
0.000311899,6.68364,1.61395,2.20685e-07,2.02134
0.000330115,9.44305,1.43361,4.29e-07,0.0154926
0.000349395,11.3007,1.36435,1.32892e-05,1.49968
0.000369801,13.1543,7.39614,1.01679e-07,0.0115694
0.000391399,5.49638,1.1884,9.77071e-08,0.0137729
0.000414258,13.1192,2.30032,1.70817e-07,0.0528238
0.000438452,15.7494,1.69165,2.88113e-07,0.028765
0.00046406,40.1245,13.0831,7.90736e-05,1.3948
0.000491162,9.61318,1.80162,2.27397e-07,0.0116082
0.000519848,30.9622,23.3654,6.58802e-06,0.833761
0.000550209,3.92143,0.809072,1.70566e-07,0.15961
0.000582344,7.12235,6.54318,1.32712e-06,0.265474
0.000616355,9.19287,2.81332,9.26935e-07,0.539747
0.000652352,2.74096,1.25809,4.86952e-07,0.0432212
0.000690452,15.4364,2.39086,3.86539e-06,0.142284
0.000730777,7.96651,2.0227,0.00702,1.10048
0.000773457,4.07883,1.1361,1.64982e-07,0.0195061
0.00081863,14.6131,6.98547,2.01532e-06,0.165682
0.000866441,14.2229,9.7251,1.84612e-06,18.7602
0.000917044,7.64714,6.94712,5.21232e-08,0.0223466
0.000970603,2.59809,1.89707,1.44067e-09,0.0421565
0.00102729,2.713,1.94721,4.3588e-08,0.0320857
0.00108729,5.83534,2.21235,3.27814e-07,0.00943473
0.00115079,2.18986,0.701257,4.15154e-06,0.040258
0.001218,1.12507,0.477466,3.53649e-05,0.0162811
0.00128913,3.48004,1.55156,5.02009e-07,0.475588
0.00136443,6.43599,1.88956,1.64636e-07,0.00522841
0.00144411,6.8896,2.0326,7.6741e-08,19.4643
0.00152845,3.68689,1.86085,4.42221e-08,1.20301
0.00161772,2.88033,1.49905,2.67663e-08,0.0514173
0.0017122,1.74901,1.18599,1.69207e-08,3.33322
0.0018122,0.727169,0.744945,1.0997e-08,0.0220022
0.00191804,16.8045,5.00228,7.06598e-09,8.92072
0.00203006,2.24842,2.2295,4.59934e-09,14.5383
0.00214862,11.1763,4.06651,3.23262e-09,0.220302
0.00227411,5.3792,1.89777,2.20032e-09,0.0621829
0.00240693,5.69534,2.00316,1.54196e-09,0.0105175
0.0025475,5.68983,1.99375,7.64632e-10,10.2214
0.00269629,5.1488,1.79418,9.17342e-10,10.0061
0.00285376,5.08746,1.76125,9.01133e-10,0.0148431
0.00302043,4.90252,1.68516,9.69063e-10,0.0169965
0.00319683,4.93493,1.68535,1.13816e-09,0.0328346
0.00338354,5.0005,1.69671,1.40249e-09,1.83324
0.00358115,4.67078,1.57469,1.76358e-09,0.134031
0.00379031,5.20066,1.74225,2.24173e-09,0.846637
